timestamp,num_slices,num_vnfs_per_slice,seed,slice_idx,slice_id,entry_node
2026-05-19 13:59:00,8,2,1,0,0,3
2026-05-19 13:59:00,8,2,1,1,1,10
2026-05-19 13:59:00,8,2,1,2,2,2
2026-05-19 13:59:00,8,2,1,3,3,5
2026-05-19 13:59:00,8,2,1,4,4,2
2026-05-19 13:59:00,8,2,1,5,5,8
2026-05-19 13:59:00,8,2,1,6,6,8
2026-05-19 13:59:00,8,2,1,7,7,8
2026-05-19 13:59:04,16,2,1,0,0,3
2026-05-19 13:59:04,16,2,1,1,1,10
2026-05-19 13:59:04,16,2,1,2,2,2
2026-05-19 13:59:04,16,2,1,3,3,5
2026-05-19 13:59:04,16,2,1,4,4,2
2026-05-19 13:59:04,16,2,1,5,5,8
2026-05-19 13:59:04,16,2,1,6,6,8
2026-05-19 13:59:04,16,2,1,7,7,8
2026-05-19 13:59:04,16,2,1,8,8,11
2026-05-19 13:59:04,16,2,1,9,9,7
2026-05-19 13:59:04,16,2,1,10,10,4
2026-05-19 13:59:04,16,2,1,11,11,2
2026-05-19 13:59:04,16,2,1,12,12,8
2026-05-19 13:59:04,16,2,1,13,13,1
2026-05-19 13:59:04,16,2,1,14,14,7
2026-05-19 13:59:04,16,2,1,15,15,7
2026-05-19 13:59:33,32,2,1,0,0,3
2026-05-19 13:59:33,32,2,1,1,1,10
2026-05-19 13:59:33,32,2,1,2,2,2
2026-05-19 13:59:33,32,2,1,3,3,5
2026-05-19 13:59:33,32,2,1,4,4,2
2026-05-19 13:59:33,32,2,1,5,5,8
2026-05-19 13:59:33,32,2,1,6,6,8
2026-05-19 13:59:33,32,2,1,7,7,8
2026-05-19 13:59:33,32,2,1,8,8,11
2026-05-19 13:59:33,32,2,1,9,9,7
2026-05-19 13:59:33,32,2,1,10,10,4
2026-05-19 13:59:33,32,2,1,11,11,2
2026-05-19 13:59:33,32,2,1,12,12,8
2026-05-19 13:59:33,32,2,1,13,13,1
2026-05-19 13:59:33,32,2,1,14,14,7
2026-05-19 13:59:33,32,2,1,15,15,7
2026-05-19 13:59:33,32,2,1,16,16,10
2026-05-19 13:59:33,32,2,1,17,17,1
2026-05-19 13:59:33,32,2,1,18,18,12
2026-05-19 13:59:33,32,2,1,19,19,8
2026-05-19 13:59:33,32,2,1,20,20,5
2026-05-19 13:59:33,32,2,1,21,21,12
2026-05-19 13:59:33,32,2,1,22,22,4
2026-05-19 13:59:33,32,2,1,23,23,10
2026-05-19 13:59:33,32,2,1,24,24,2
2026-05-19 13:59:33,32,2,1,25,25,6
2026-05-19 13:59:33,32,2,1,26,26,1
2026-05-19 13:59:33,32,2,1,27,27,1
2026-05-19 13:59:33,32,2,1,28,28,1
2026-05-19 13:59:33,32,2,1,29,29,11
2026-05-19 13:59:33,32,2,1,30,30,9
2026-05-19 13:59:33,32,2,1,31,31,1
2026-05-19 14:02:34,64,2,1,0,0,3
2026-05-19 14:02:34,64,2,1,1,1,10
2026-05-19 14:02:34,64,2,1,2,2,2
2026-05-19 14:02:34,64,2,1,3,3,5
2026-05-19 14:02:34,64,2,1,4,4,2
2026-05-19 14:02:34,64,2,1,5,5,8
2026-05-19 14:02:34,64,2,1,6,6,8
2026-05-19 14:02:34,64,2,1,7,7,8
2026-05-19 14:02:34,64,2,1,8,8,11
2026-05-19 14:02:34,64,2,1,9,9,7
2026-05-19 14:02:34,64,2,1,10,10,4
2026-05-19 14:02:34,64,2,1,11,11,2
2026-05-19 14:02:34,64,2,1,12,12,8
2026-05-19 14:02:34,64,2,1,13,13,1
2026-05-19 14:02:34,64,2,1,14,14,7
2026-05-19 14:02:34,64,2,1,15,15,7
2026-05-19 14:02:34,64,2,1,16,16,10
2026-05-19 14:02:34,64,2,1,17,17,1
2026-05-19 14:02:34,64,2,1,18,18,12
2026-05-19 14:02:34,64,2,1,19,19,8
2026-05-19 14:02:34,64,2,1,20,20,5
2026-05-19 14:02:34,64,2,1,21,21,12
2026-05-19 14:02:34,64,2,1,22,22,4
2026-05-19 14:02:34,64,2,1,23,23,10
2026-05-19 14:02:34,64,2,1,24,24,2
2026-05-19 14:02:34,64,2,1,25,25,6
2026-05-19 14:02:34,64,2,1,26,26,1
2026-05-19 14:02:34,64,2,1,27,27,1
2026-05-19 14:02:34,64,2,1,28,28,1
2026-05-19 14:02:34,64,2,1,29,29,11
2026-05-19 14:02:34,64,2,1,30,30,9
2026-05-19 14:02:34,64,2,1,31,31,1
2026-05-19 14:02:34,64,2,1,32,32,7
2026-05-19 14:02:34,64,2,1,33,33,11
2026-05-19 14:02:34,64,2,1,34,34,4
2026-05-19 14:02:34,64,2,1,35,35,7
2026-05-19 14:02:34,64,2,1,36,36,12
2026-05-19 14:02:34,64,2,1,37,37,1
2026-05-19 14:02:34,64,2,1,38,38,9
2026-05-19 14:02:34,64,2,1,39,39,4
2026-05-19 14:02:34,64,2,1,40,40,8
2026-05-19 14:02:34,64,2,1,41,41,8
2026-05-19 14:02:34,64,2,1,42,42,9
2026-05-19 14:02:34,64,2,1,43,43,4
2026-05-19 14:02:34,64,2,1,44,44,6
2026-05-19 14:02:34,64,2,1,45,45,4
2026-05-19 14:02:34,64,2,1,46,46,11
2026-05-19 14:02:34,64,2,1,47,47,4
2026-05-19 14:02:34,64,2,1,48,48,8
2026-05-19 14:02:34,64,2,1,49,49,5
2026-05-19 14:02:34,64,2,1,50,50,1
2026-05-19 14:02:34,64,2,1,51,51,7
2026-05-19 14:02:34,64,2,1,52,52,9
2026-05-19 14:02:34,64,2,1,53,53,11
2026-05-19 14:02:34,64,2,1,54,54,2
2026-05-19 14:02:34,64,2,1,55,55,3
2026-05-19 14:02:34,64,2,1,56,56,11
2026-05-19 14:02:34,64,2,1,57,57,12
2026-05-19 14:02:34,64,2,1,58,58,5
2026-05-19 14:02:34,64,2,1,59,59,2
2026-05-19 14:02:34,64,2,1,60,60,12
2026-05-19 14:02:34,64,2,1,61,61,6
2026-05-19 14:02:34,64,2,1,62,62,12
2026-05-19 14:02:34,64,2,1,63,63,12
2026-05-19 14:05:35,8,3,1,0,0,3
2026-05-19 14:05:35,8,3,1,1,1,10
2026-05-19 14:05:35,8,3,1,2,2,2
2026-05-19 14:05:35,8,3,1,3,3,5
2026-05-19 14:05:35,8,3,1,4,4,2
2026-05-19 14:05:35,8,3,1,5,5,8
2026-05-19 14:05:35,8,3,1,6,6,8
2026-05-19 14:05:35,8,3,1,7,7,8
2026-05-19 14:06:00,16,3,1,0,0,3
2026-05-19 14:06:00,16,3,1,1,1,10
2026-05-19 14:06:00,16,3,1,2,2,2
2026-05-19 14:06:00,16,3,1,3,3,5
2026-05-19 14:06:00,16,3,1,4,4,2
2026-05-19 14:06:00,16,3,1,5,5,8
2026-05-19 14:06:00,16,3,1,6,6,8
2026-05-19 14:06:00,16,3,1,7,7,8
2026-05-19 14:06:00,16,3,1,8,8,11
2026-05-19 14:06:00,16,3,1,9,9,7
2026-05-19 14:06:00,16,3,1,10,10,4
2026-05-19 14:06:00,16,3,1,11,11,2
2026-05-19 14:06:00,16,3,1,12,12,8
2026-05-19 14:06:00,16,3,1,13,13,1
