timestamp,num_slices,num_vnfs_per_slice,total_vnfs,seed,slice_idx,entry_node,vnf_ids,vnf_cpu,vls,vl_bandwidths,vl_latencies,slice_cpu_total,slice_bandwidth_total,slice_latency_budget
2026-06-12 09:07:19,2,2,4,1,0,3,vnf0_0;vnf0_1,6;8,vnf0_0->vnf0_1,50,160,14,50,160
2026-06-12 09:07:19,2,2,4,1,1,10,vnf1_0;vnf1_1,5;3,vnf1_0->vnf1_1,45,140,8,45,140
2026-06-12 09:07:19,4,2,8,1,0,3,vnf0_0;vnf0_1,6;8,vnf0_0->vnf0_1,50,160,14,50,160
2026-06-12 09:07:19,4,2,8,1,1,10,vnf1_0;vnf1_1,5;3,vnf1_0->vnf1_1,45,140,8,45,140
2026-06-12 09:07:19,4,2,8,1,2,2,vnf2_0;vnf2_1,2;2,vnf2_0->vnf2_1,25,60,4,25,60
2026-06-12 09:07:19,4,2,8,1,3,5,vnf3_0;vnf3_1,3;6,vnf3_0->vnf3_1,40,110,9,40,110
2026-06-12 09:07:19,6,2,12,1,0,3,vnf0_0;vnf0_1,6;8,vnf0_0->vnf0_1,50,160,14,50,160
2026-06-12 09:07:19,6,2,12,1,1,10,vnf1_0;vnf1_1,5;3,vnf1_0->vnf1_1,45,140,8,45,140
2026-06-12 09:07:19,6,2,12,1,2,2,vnf2_0;vnf2_1,2;2,vnf2_0->vnf2_1,25,60,4,25,60
2026-06-12 09:07:19,6,2,12,1,3,5,vnf3_0;vnf3_1,3;6,vnf3_0->vnf3_1,40,110,9,40,110
2026-06-12 09:07:19,6,2,12,1,4,2,vnf4_0;vnf4_1,2;10,vnf4_0->vnf4_1,25,60,12,25,60
2026-06-12 09:07:19,6,2,12,1,5,8,vnf5_0;vnf5_1,8;8,vnf5_0->vnf5_1,60,180,16,60,180
2026-06-12 09:07:20,8,2,16,1,0,3,vnf0_0;vnf0_1,6;8,vnf0_0->vnf0_1,50,160,14,50,160
2026-06-12 09:07:20,8,2,16,1,1,10,vnf1_0;vnf1_1,5;3,vnf1_0->vnf1_1,45,140,8,45,140
2026-06-12 09:07:20,8,2,16,1,2,2,vnf2_0;vnf2_1,2;2,vnf2_0->vnf2_1,25,60,4,25,60
2026-06-12 09:07:20,8,2,16,1,3,5,vnf3_0;vnf3_1,3;6,vnf3_0->vnf3_1,40,110,9,40,110
2026-06-12 09:07:20,8,2,16,1,4,2,vnf4_0;vnf4_1,2;10,vnf4_0->vnf4_1,25,60,12,25,60
2026-06-12 09:07:20,8,2,16,1,5,8,vnf5_0;vnf5_1,8;8,vnf5_0->vnf5_1,60,180,16,60,180
2026-06-12 09:07:20,8,2,16,1,6,8,vnf6_0;vnf6_1,1;5,vnf6_0->vnf6_1,20,45,6,20,45
2026-06-12 09:07:20,8,2,16,1,7,8,vnf7_0;vnf7_1,6;1,vnf7_0->vnf7_1,50,160,7,50,160
2026-06-12 09:07:20,16,2,32,1,0,3,vnf0_0;vnf0_1,6;8,vnf0_0->vnf0_1,50,160,14,50,160
2026-06-12 09:07:20,16,2,32,1,1,10,vnf1_0;vnf1_1,5;3,vnf1_0->vnf1_1,45,140,8,45,140
2026-06-12 09:07:20,16,2,32,1,2,2,vnf2_0;vnf2_1,2;2,vnf2_0->vnf2_1,25,60,4,25,60
2026-06-12 09:07:20,16,2,32,1,3,5,vnf3_0;vnf3_1,3;6,vnf3_0->vnf3_1,40,110,9,40,110
2026-06-12 09:07:20,16,2,32,1,4,2,vnf4_0;vnf4_1,2;10,vnf4_0->vnf4_1,25,60,12,25,60
2026-06-12 09:07:20,16,2,32,1,5,8,vnf5_0;vnf5_1,8;8,vnf5_0->vnf5_1,60,180,16,60,180
2026-06-12 09:07:20,16,2,32,1,6,8,vnf6_0;vnf6_1,1;5,vnf6_0->vnf6_1,20,45,6,20,45
2026-06-12 09:07:20,16,2,32,1,7,8,vnf7_0;vnf7_1,6;1,vnf7_0->vnf7_1,50,160,7,50,160
2026-06-12 09:07:20,16,2,32,1,8,11,vnf8_0;vnf8_1,3;3,vnf8_0->vnf8_1,30,90,6,30,90
2026-06-12 09:07:20,16,2,32,1,9,7,vnf9_0;vnf9_1,1;5,vnf9_0->vnf9_1,15,30,6,15,30
2026-06-12 09:07:20,16,2,32,1,10,4,vnf10_0;vnf10_1,1;8,vnf10_0->vnf10_1,10,20,9,10,20
2026-06-12 09:07:20,16,2,32,1,11,2,vnf11_0;vnf11_1,6;2,vnf11_0->vnf11_1,70,200,8,70,200
2026-06-12 09:07:20,16,2,32,1,12,8,vnf12_0;vnf12_1,8;2,vnf12_0->vnf12_1,60,180,10,60,180
2026-06-12 09:07:20,16,2,32,1,13,1,vnf13_0;vnf13_1,4;5,vnf13_0->vnf13_1,25,90,9,25,90
2026-06-12 09:07:20,16,2,32,1,14,7,vnf14_0;vnf14_1,10;10,vnf14_0->vnf14_1,100,250,20,100,250
2026-06-12 09:07:20,16,2,32,1,15,7,vnf15_0;vnf15_1,3;1,vnf15_0->vnf15_1,40,110,4,40,110
2026-06-12 09:21:50,32,2,64,1,0,3,vnf0_0;vnf0_1,6;8,vnf0_0->vnf0_1,50,160,14,50,160
2026-06-12 09:21:50,32,2,64,1,1,10,vnf1_0;vnf1_1,5;3,vnf1_0->vnf1_1,45,140,8,45,140
2026-06-12 09:21:50,32,2,64,1,2,2,vnf2_0;vnf2_1,2;2,vnf2_0->vnf2_1,25,60,4,25,60
2026-06-12 09:21:50,32,2,64,1,3,5,vnf3_0;vnf3_1,3;6,vnf3_0->vnf3_1,40,110,9,40,110
2026-06-12 09:21:50,32,2,64,1,4,2,vnf4_0;vnf4_1,2;10,vnf4_0->vnf4_1,25,60,12,25,60
2026-06-12 09:21:50,32,2,64,1,5,8,vnf5_0;vnf5_1,8;8,vnf5_0->vnf5_1,60,180,16,60,180
2026-06-12 09:21:50,32,2,64,1,6,8,vnf6_0;vnf6_1,1;5,vnf6_0->vnf6_1,20,45,6,20,45
2026-06-12 09:21:50,32,2,64,1,7,8,vnf7_0;vnf7_1,6;1,vnf7_0->vnf7_1,50,160,7,50,160
2026-06-12 09:21:50,32,2,64,1,8,11,vnf8_0;vnf8_1,3;3,vnf8_0->vnf8_1,30,90,6,30,90
2026-06-12 09:21:50,32,2,64,1,9,7,vnf9_0;vnf9_1,1;5,vnf9_0->vnf9_1,15,30,6,15,30
2026-06-12 09:21:50,32,2,64,1,10,4,vnf10_0;vnf10_1,1;8,vnf10_0->vnf10_1,10,20,9,10,20
2026-06-12 09:21:50,32,2,64,1,11,2,vnf11_0;vnf11_1,6;2,vnf11_0->vnf11_1,70,200,8,70,200
2026-06-12 09:21:50,32,2,64,1,12,8,vnf12_0;vnf12_1,8;2,vnf12_0->vnf12_1,60,180,10,60,180
2026-06-12 09:21:50,32,2,64,1,13,1,vnf13_0;vnf13_1,4;5,vnf13_0->vnf13_1,25,90,9,25,90
2026-06-12 09:21:50,32,2,64,1,14,7,vnf14_0;vnf14_1,10;10,vnf14_0->vnf14_1,100,250,20,100,250
2026-06-12 09:21:50,32,2,64,1,15,7,vnf15_0;vnf15_1,3;1,vnf15_0->vnf15_1,40,110,4,40,110
2026-06-12 09:21:50,32,2,64,1,16,10,vnf16_0;vnf16_1,6;8,vnf16_0->vnf16_1,50,160,14,50,160
2026-06-12 09:21:50,32,2,64,1,17,1,vnf17_0;vnf17_1,10;5,vnf17_0->vnf17_1,100,250,15,100,250
2026-06-12 09:21:50,32,2,64,1,18,12,vnf18_0;vnf18_1,8;4,vnf18_0->vnf18_1,80,220,12,80,220
2026-06-12 09:21:50,32,2,64,1,19,8,vnf19_0;vnf19_1,1;2,vnf19_0->vnf19_1,20,45,3,20,45
2026-06-12 09:21:50,32,2,64,1,20,5,vnf20_0;vnf20_1,5;1,vnf20_0->vnf20_1,45,140,6,45,140
2026-06-12 09:21:50,32,2,64,1,21,12,vnf21_0;vnf21_1,10;1,vnf21_0->vnf21_1,100,250,11,100,250
2026-06-12 09:21:50,32,2,64,1,22,4,vnf22_0;vnf22_1,5;4,vnf22_0->vnf22_1,30,110,9,30,110
2026-06-12 09:21:50,32,2,64,1,23,10,vnf23_0;vnf23_1,8;2,vnf23_0->vnf23_1,80,220,10,80,220
2026-06-12 09:21:50,32,2,64,1,24,2,vnf24_0;vnf24_1,8;5,vnf24_0->vnf24_1,80,220,13,80,220
2026-06-12 09:21:50,32,2,64,1,25,6,vnf25_0;vnf25_1,1;6,vnf25_0->vnf25_1,20,45,7,20,45
2026-06-12 09:21:50,32,2,64,1,26,1,vnf26_0;vnf26_1,1;6,vnf26_0->vnf26_1,20,45,7,20,45
2026-06-12 09:21:50,32,2,64,1,27,1,vnf27_0;vnf27_1,6;2,vnf27_0->vnf27_1,70,200,8,70,200
2026-06-12 09:21:50,32,2,64,1,28,1,vnf28_0;vnf28_1,1;2,vnf28_0->vnf28_1,15,30,3,15,30
2026-06-12 09:21:50,32,2,64,1,29,11,vnf29_0;vnf29_1,1;5,vnf29_0->vnf29_1,20,45,6,20,45
2026-06-12 09:21:50,32,2,64,1,30,9,vnf30_0;vnf30_1,1;6,vnf30_0->vnf30_1,20,45,7,20,45
